job_title,job_id,contract_type,contract_tag,salary,company_name,location,publication_date,job_url,resume_de_loffre,qualifications,missions,profil_recherche,salary_numeric,source,remote,depth,download_timeout,download_slot,download_latency,description,profile
Data Scientist H/F,63423960.0,Independant,🏡 Télétravail partiel,,Kicklox,Paris 5e - 75,il y a 4 jours,https://www.hellowork.com/fr-fr/emplois/63423960.html,Résumé de l'offre,"['', 'Télétravail partiel', 'Bac +5', 'Industrie Auto • Meca • Navale', 'Exp. + 7 ans', 'Paris 5e - 75', 'Indépendant']","L'offre
Secteurs
Automobile, Aéronautique, Spatial, Défense & Sécurité, Ferroviaire, Télécommunications, Energie, Services & Systèmes d'Informations, Chimie / Pétrochimie, Digital & E-Commerce, Naval, Machines & Industrie Lourde, Pharmaceutique / Biotechnologie, Banque & Assurance, BTP
Description de l'offre
Nous recrutons pour l'un de nos clients un Data Scientist, à pourvoir dès que possible. Ce professionnel sera chargé de :
- Analyser de grandes quantités de données brutes pour identifier des tendances et des modèles.
- Utiliser des techniques statistiques et des algorithmes de machine learning pour construire des modèles prédictifs.
- Collaborer avec les équipes de business pour comprendre les enjeux et intégrer les analyses dans les stratégies opérationnelles.
- Préparer des rapports clairs et utiliser des visualisations pour présenter les découvertes aux parties prenantes non techniques.
- Expérimenter de nouvelles méthodes et techniques d'analyse pour améliorer constamment les capacités analytiques de l'entreprise.
Missions à réaliser
Analyser des données complexes et développer des modèles prédictifs pour soutenir les décisions stratégiques de l'entreprise.
Modalités
- Date de démarrage : dès que possible
- Date de fin : durée 6 mois
- Candidats recherchés : 1
- Expérience : 8+ ans
- Type de contrat : Freelance / Indépendant, Temps complet
- Rémunération : 450 € - 630 € par jour selon expérience
- Mode de facturation : Assistance technique
- Localisation : 75005 Paris, France
- Télétravail partiel","Le profil recherché
Compétences requises
Analyse de données, statistiques, machine learning, programmation, Python, R, Tensorflow, scikit-learn
Description du profil
- Expérience en analyse de données, statistiques et machine learning - Maîtrise des langages de programmation (Python, R) et des outils de data science (TensorFlow, scikit-learn) - Capacité à développer des modèles prédictifs et à interpréter les résultats - Excellentes compétences en communication et en documentation - Capacité à travailler en équipe et à collaborer avec les équipes métiers - Esprit analytique et attention aux détails - Capacité à proposer des solutions basées sur les données
Langues
Français",,,,,,,,,
Data Scientist H/F,63512754.0,CDI,🏡 Télétravail partiel,,BPCE SA,Paris - 75,il y a 15 jours,https://www.hellowork.com/fr-fr/emplois/63512754.html,Résumé de l'offre,"['', 'Télétravail partiel', 'Bac +5', 'Banque • Assurance • Finance', 'Exp. 1 à 7 ans', 'Exp. + 7 ans', 'Paris - 75', 'CDI']","Organe central du Groupe, BPCE SA assure la coordination, la cohérence et les synergies entre les différentes marques pour porter les ambitions du Projet du Groupe BPCE 2024.
Les missions confiées à nos collaborateurs offrent une vision transversale des enjeux économiques et stratégiques du Groupe.
Vos missions au sein de l'équipe
Nous recherchons un Data Scientist spécialisé en NLP (Traitement du Langage Naturel) pour rejoindre notre équipe. Le candidat idéal devra avoir une solide expérience dans l'analyse de données, le développement de modèles NLP pour résoudre des problèmes complexes, ainsi qu'une expérience confirmée dans la conduite de projets innovants en intelligence artificielle. Ses principales responsabilités consisteront à collecter, nettoyer, analyser et interpréter de grandes quantités de données textuelles afin d'aider à prendre des décisions commerciales éclairées.
Ses missions s'articuleront autour de 4 piliers principaux
- Récupération de données : Collecte et préparation d'ensembles de données pertinents pour l'entraînement des modèles NLP, en veillant à leur qualité et à leur représentativité. Collaboration avec les équipes techniques pour l'étiquetage des données lorsque nécessaire.
- Modélisation : Mise en oeuvre de modèles de classification supervisés (analyse des sentiments, NER) et non supervisés (Clustering) ainsi que des modèles d'IA génératifs (LLM). Surveillance et amélioration des modèles existants.
- Collaboration interfonctionnelle : Collaboration avec le métier pour améliorer les produits existants et créer de nouvelles fonctionnalités. Discussion avec le service informatique pour créer l'infrastructure nécessaire à la mise en production des différents modèles et projets.
- Innovation et Optimisation : Curiosité permanente à l'égard des nouvelles technologies dans le domaine du NLP afin d'identifier les cas d'utilisation potentiels dans le cadre de projets existants. Participation à l'orientation de la thèse CIFRE en cours.
Vos atouts pour réussir
Nous recherchons un Data Scientist possédant au moins 4 ans d'expérience, avec une expertise significative dans les projets NLP. Les compétences requises comprennent la capacité à gérer efficacement les projets, d'excellentes compétences en communication écrite et orale, et la capacité à travailler avec divers profils, y compris techniques, métiers et de management. Une expérience de travail en méthode agile est souhaitée.
Sur le plan technique, une maîtrise de Python, PyTorch, Keras, TensorFlow, Hugging Face et les Transformers est nécessaire. Une expérience en développement industriel sur Azure est un atout. Le candidat doit être un résolveur de problèmes collaborant étroitement avec les équipes techniques telles que les Data/Cloud Ingenieer, les analystes de données, les concepteurs UX/UI et les PO pour surmonter les défis techniques.
Des connaissances en services cloud, idéalement Microsoft Azure et GCP, pour le développement et le déploiement de solutions basées sur l'IA sont également nécessaires. Une capacité à travailler en étroite collaboration avec les équipes métiers pour identifier les besoins en matière d'analyse de données textuelles est attendue.
Le candidat devra être en mesure de créer des outils et des visualisations pour communiquer clairement et efficacement les résultats de l'analyse de données. Il devra également contribuer à l'amélioration continue des modèles NLP existants et à l'exploration de nouvelles techniques et méthodologies.
Pourquoi nous rejoindre ?
Un Groupe engagé dans le développement de ses collaborateurs
- Des opportunités professionnelles au sein de l'ensemble du groupe BPCE, avec la possibilité de bénéficier d'accompagnements sur-mesure (parcours d'upskilling / reskilling, LinkedIn Learning...)
- Un modèle managérial favorisant la mise en responsabilité et la prise d'initiatives
Un Groupe engagé dans les enjeux sociétaux et environnementaux
- Le Groupe BPCE place le climat comme priorité d'action de tous ses métiers et de toutes ses entreprises. Trois objectifs sont fixés : aligner tous ses portefeuilles sur une trajectoire ""net zéro"", accompagner ses clients dans leur transition environnementale, et réduire sa propre empreinte.
- En quelques chiffres la RSE dans le Groupe :
- 1erfinanceur de l'économie sociale et solidaire avec 15.9 Md€ d'encours
- 35 Md€ d'encours de financement de la transition énergétique
- 6 millions d'emplois soutenus grâce à l'activité des réseaux BP et CE
Être un employeur inclusif à travers des politiques fortes en termes de mixité, d'équilibre des temps de vie, de santé au travail...
Mais aussi...
- 10 jours de télétravail par mois
- Une carte ticket-restaurant de 11€ Euros par jour de télétravail
- 29 jours de congés payés et entre 16 et 19 jours de RTT (en fonction du calendrier des jours fériés)
- 64,2% de prise en charge des frais de transport
- Un dispositif d'épargne salarial attractif avec système d'abondement de 2500 Euros annuel
- Une mutuelle avantageuse avec la prise en charge de la cotisation à hauteur de 56,3 %
- Vous aurez accès à toutes les prestations de notre CSE : enveloppe loisirs, tarifs préférentiels sur la billetterie, voyages organisés, etc. pour profiter de moments de pause entre amis ou en famille !
NOTRE PROCESS DE RECRUTEMENT
Notre annonce vous parle et vous donne envie ? Candidatez, et si votre profil matche notre équipe de recruteurs vous contactera :
- 1 entretien pour comprendre votre parcours et vos motivations
- 1 à 2 entretiens métiers
A minima un des entretiens aura lieu au sein de nos locaux, pour que vous puissiez découvrir votre futur environnement de travail.
En tant qu'employeur responsable et engagé à construire un environnement de travail inclusif, nous offrons les mêmes opportunités aux talents de tous horizons, indépendamment de votre âge, origine, orientation sexuelle, handicap...",,,,,,,,,,
Data Scientist H/F,63804517.0,Independant,🏡 Télétravail occasionnel,42 000 - 68 000 € / an,The Porters,Île-de-France,il y a 8 jours,https://www.hellowork.com/fr-fr/emplois/63804517.html,Résumé de l'offre,"['42\u202f000 - 68\u202f000 € / an', '', 'Télétravail occasionnel', 'Bac +3, Bac +4', 'Bac +5', 'Secteur informatique • ESN', 'Exp. 1 à 7 ans', 'Exp. + 7 ans', 'Île-de-France', 'Indépendant']","Nous recherchons un(e) Data Scientist talentueux(se) et passionné(e) pour rejoindre notre équipe.
Vous serez responsable de l'analyse de données complexes, de la création de modèles prédictifs et de la fourniture d'insights stratégiques pour soutenir les décisions de l'entreprise.
Missions :
- Collecter, traiter et analyser de grandes quantités de données structurées et non structurées.
- Développer et implémenter des modèles statistiques et des algorithmes de machine learning.
- Collaborer avec les équipes métiers pour identifier les opportunités d'amélioration basées sur les données.
- Présenter les résultats des analyses de manière claire et concise aux parties prenantes.
- Assurer une veille technologique pour intégrer les meilleures pratiques en data science.","Diplômé(e) d'une formation supérieure en informatique, statistiques, mathématiques appliquées ou domaine connexe.
- Expérience avérée en data science, avec une maîtrise des langages de programmation tels que Python ou R.
- Connaissance approfondie des techniques de machine learning, de deep learning et des outils associés.
- Expérience avec des plateformes de big data et des bases de données (SQL, NoSQL).
- Excellentes compétences en communication et capacité à travailler en équipe.
Les plus :
- Expérience dans le secteur [secteur spécifique, par exemple : finance, e-commerce, santé].
- Connaissance des outils de visualisation de données tels que Tableau ou Power BI.
- Expérience avec des environnements cloud (AWS, Azure, GCP).",,,,,,,,,
Alternance - Data Scientist H/F,64783307.0,Alternance,🏡 Télétravail partiel,"486,49 - 1 801,80 € / mois",Crédit Agricole Assurances,Paris 15e - 75,il y a 15 jours,https://www.hellowork.com/fr-fr/emplois/64783307.html,Résumé de l'offre,"['486,49 - 1\u202f801,80 € / mois', '', 'Télétravail partiel', 'Bac +5', 'Banque • Assurance • Finance', 'Paris 15e - 75', 'Alternance']","Premier assureur en France et premier bancassureur en Europe, nous voulons aller plus loin en devenant l'assureur digital de référence et le n°1 de la satisfaction client. La Direction de la Transformation accompagne notre Groupe pour mener à bien cette transformation digitale. Pour vous, c'est l'opportunité de vivre une aventure humaine riche, dans une structure en pleine transformation, avec de nombreuses possibilités de carrière.
Vous serez rattaché à l'équipe AI Factory de CAA (composée de 6 data scientist, de4 ingénieurs IT IA et de 3pilotes de projets IA), qui a pour grande mission de développer les moteurs d'IA pour le groupe Crédit Agricole Assurances (Machine Learning, Deep Learning, IA Générative) en logique industrielle.
Concrètement, de quoi s'agit-il sur le terrain ?
L'équipe à laquelle vous serez rattaché couvre les grands domaines de l'IA : IA Générative, traitement de texte, reconnaissance de document, contrôle des risques, détections de la fraude.
Principales missions en production, en cours et à venir :
- Le développement de modèles d'IA Générative aux services des métiers
- Analyse de texte libre pour comprendre l'intention des questions dans l'outil de remonté des interrogations des Caisses régionales (IA Générative, Topic Modeling, TFIDF, etc.)
- Traitement automatiques des documents (IA Générative, OCR, Computer Vision, NLP)
- Classification de document
- Lecture d'information dans les documents (ex. factures, carte grise, etc.)
- Identification d'intention des clients
- Surveillance des comportements clients ""anormaux"" (RNNS, XGB)
- Détection de Fraude à l'assurance
- Des modèles supervisés et non supervisés sur de la donnée structurée : prédiction des anomalies dans l'infocentre avec de l'IA
(XGB / réseaux de neurones).
Pour cela les data Scientist font leurs développements sur notre plateforme AWS dédiée à notre équipe.
Nous envisageons des sujets d'alternance autour du traitement de document :
- IA Générative pour le traitement de base documentaires (RAG) au service de nos collaborateurs
- Détection d'anomalies dans les documents
- Classification / extraction d'information
Votre tuteur d'alternant accompagnera votre intégration et votre montée en compétences.
Votre tuteur accompagnera votre intégration et votre montée en compétences.
Vos avantages
Des opportunités professionnelles au sein de nos entités Assurances et du groupe Crédit Agricole, une rémunération attractive, un accord de télétravail, une complémentaire santé de qualité, un forfait mobilité durable de 600 à 700 Euros, un accompagnement RH, et plus encore à découvrir !
Les principes de protection de l'environnement et de responsabilité sociétale sont intégrés au coeur de nos activités.
Le process de recrutement
1. Un entretien avec le manager ou le tuteur.
2. Un entretien en visio avec un interlocuteur RH.","Critères de candidature
:
Cadre / Non Cadre : Non cadre
Niveau d'étude minimum : Bac +5 / M2 et plus
Formation / Spécialisation :
Vous êtes en formation Data scientist.
Niveau d'expérience minimum : 0 - 2 ans
Soft skills :
Compétences techniques ou métier recherchées :
- Python
- Statistique / mathématique
- Information au sens platefome de développement type AWS serait un plus
- Comprendre les technologies IA
Compétences comportementales recherchées :
- Avoir le sens du résultat
- Avoir le sens du service client
- Organiser et réaliser son travail avec rigueur, autonomie et toute la discrétion nécessaire
- S'adapter aux changements
- Travailler en équipe
Outils informatiques :",,,,,,,,,
Paris Data Scientist H/F,57816629.0,CDI,,,Meritis,Paris 8e - 75,il y a 1 jour,https://www.hellowork.com/fr-fr/emplois/57816629.html,Résumé de l'offre,"['Bac +5', 'Secteur informatique • ESN', 'Exp. + 7 ans', 'Paris 8e - 75', 'CDI']","Vous participerez aux missions suivantes :
- Développer et faire évoluer des solutions ""Data Core Model"" (algorithmes, outils de datavisualisation et de simulation),
- Construire, déployer et faire évoluer les algorithmes (prévisions de ventes, prévisions d'activité, segmentation client, churn, moteur de recommandation...),
- Explorer et analyser les données disponibles, produites et valorisées,
- Créer des dashboards de pilotage et des mesures de performance avec des KPI métiers,
- Rédiger des spécifications fonctionnelles et techniques,
- Intervenir sur des sujets plus techniques d'optimisation et d'industrialisation d'algorithmes pouvant aller jusqu'à la mise en production,
- Partager son expertise au sein de l'équipe Data.","Vous êtes titulaire d'un diplôme d'ingénieur ou universitaire Bac +5,
- Vous avez à partir de 3 ans d'expérience,
- Vous aimez travailler dans un environnement agile et novateur,
- Vous souhaitez monter en compétence rapidement sur de nouvelles technologies.
- Vous êtes friand de concours de code, à jour sur la l'actualité technologique et vous aimez transmettre vos connaissances alors IT's a match  !
- Do you speak english ?",,,,,,,,,
Alternance - Data Scientist H/F,63583585.0,Alternance,⏱️ 2 ans,"486,49 - 1 801,80 € / mois",AG2R LA MONDIALE,Paris - 75,il y a 13 jours,https://www.hellowork.com/fr-fr/emplois/63583585.html,Résumé de l'offre,"['486,49 - 1\u202f801,80 € / mois', '', '2 ans', 'Bac +5', 'Banque • Assurance • Finance', 'Paris - 75', 'Alternance']","Au sein de l'équipe data, le data scientist a pour mission de :
- Comprendre et mesurer les besoins des métiers à partir des données disponibles ;
- Analyser les données pour extraire des caractéristiques utiles à la modélisation ;
- Expérimenter des modèles d'IA et d'IA générative pour répondre à la problématique du métier ;
- Concevoir les modèles statistiques permettant de répondre aux besoins du métier.
- Réaliser les actions de développement en industrialisant et en mettant en production.
Le data scientist trouvera son terrain de jeu d'une infrastructure cloud GCP.
Le data scientist exploite, analyse et évalue la richesse de données, structurées ou non, pour établir des scénarii permettant de comprendre et anticiper de futurs leviers métiers ou opérationnels pour l'entreprise.
De plus, le data scientist est acteur de l'amélioration continue en assurant une veille technologique et scientifique pour proposer de nouvelles approches et en acculturant ses interlocuteurs métiers aux bénéfices de la data science sur le périmètre opérationnel.","Vos compétences et atouts
Potentiellement un/des précédents stages dans l'assurance seront un plus.
Les qualités recherchées sont de l'envie, de l'initiative, le sens de l'analyse et de la synthèse, la force de conviction et de bonnes qualités de communication et de coordination, la capacité de travailler en équipe.
Savoirs
·       Connaissance des statistiques et de l'apprentissage continu (machine learning) ;
·       Connaissance des outils et pratiques d'intégration et de déploiement continu.
·       Connaissance des plateformes Cloud
·       Notion du contexte règlementaire et éthique autour de l'usage de donnée ;
·       Maîtrise des outils du langage Python et SQL.
Savoir - faire
·       Capacité à comprendre le besoin du métier afin de produire une solution adaptée ;
·       Capacité à faire comprendre ses développements en réponse à la problématique métier ; capacité à expliquer sa démarche et à présenter ses résultats d'analyse ;",,,,,,,,,
Alternance - Assistant Data Scientist H/F,64152178.0,Alternance,⏱️ 1 an,,Spirica,Paris 15e - 75,il y a 22 heures,https://www.hellowork.com/fr-fr/emplois/64152178.html,Résumé de l'offre,"['', '1 an', 'Bac +5', 'Banque • Assurance • Finance', 'Exp. - 1 an', 'Paris 15e - 75', 'Alternance']","Dans le cadre de son développement, SPIRICA recherche un(e) alternant Assistant Data Scientist.
Rattaché(e) à la Direction de l'Actuariat, IFRS17 et Data et encadré(e) par votre tuteur, vous aurez principalement les missions suivantes :
· Concevoir des algorithmes appropriés pour répondre aux demandes des Métiers
· Optimiser / industrialiser le code Python en veillant à sa maintenabilité et à sa qualité
· Suivre la performance des IA existantes via la mise en place de dashboards
· Participer à la communication sur les travaux menés par le service / aux actions d'acculturation sur l'IA
· Participer à la veille sur l'IA
· Documenter les travaux menés
· Maintenir à jour les procédures
A partir de septembre 2025","Vous êtes titulaire d'un Bac +4 en Data Science.
Aptitudes personnelles requises :
- Bon relationnel
- Rigueur
- Curiosité
- Esprit d'initiative
- Esprit d'équipe
Compétences requises :
- Maîtrise des techniques statistiques, algorithmique, modélisation de scores, analyse de données
- Connaissances solides en programmation Python
- Pack bureautique (Excel, Word, PowerPoint)
- La connaissance de Git et des pratiques de développement industriel sont un plus",,,,,,,,,
Alternant - Data Scientist H/F,64470542.0,Alternance,,"486,49 - 1 801,80 € / mois",SFR,Paris 15e - 75,il y a 23 jours,https://www.hellowork.com/fr-fr/emplois/64470542.html,Résumé de l'offre,"['486,49 - 1\u202f801,80 € / mois', 'Bac +5', 'Industrie high-tech • Telecom', 'Paris 15e - 75', 'Alternance']",,,,,,,,,,,
Senior Data Scientist H/F,64697115.0,CDI,🏡 Télétravail partiel,,RATP,Paris 12e - 75,il y a 17 jours,https://www.hellowork.com/fr-fr/emplois/64697115.html,Résumé de l'offre,"['', 'Télétravail partiel', 'Bac +5', 'Transport • Logistique', 'Exp. 1 à 7 ans', 'Paris 12e - 75', 'CDI']","Quel sera votre quotidien ?
Votre principal rôle sera de :
Participer à l'identification, la qualification et la priorisation de cas d'usage de data science à forte valeur métier ;
Assurer, sous la supervision d'un Lead Data Scientist, la réalisation scientifique et technique des projets de data science, en se conformant au modèle de delivery et aux standards de développement promus par le CE Data
Accompagner le déploiement des projets sur les infrastructures de production (support du build et du run) et leur intégration dans les processus métier concernés
Assurer l'interface avec l'ensemble des parties prenantes (métiers et techniques) et contribuer à l'animation des réunions projet : kick-offs, revues de sprint, comités de pilotage, etc.
Valoriser les travaux au sein et à l'extérieur du groupe par le biais de communications et de démonstrations
Vous contribuerez également aux activités transverses du CE Data : missions d'expertise diverses, création de contenus de formation et d'acculturation, développement de l'offre du CE Data, participation à l'animation de la communauté data science du groupe, etc.
Pour en savoir plus, cliquez sur le lien suivant :
https://ratpgroup.com/fr/.","Vous êtes diplômé d'un Bac +5 en Data Science (ou équivalent) et avez acquis au moins 5 ans d'expérience dans ce domaine.
Pour relever ces défis, nous recherchons une personne disposant d'un bagage scientifique et technique solide :
Compétences avancées en mathématiques, statistiques et intelligence artificielle
Compétences dans le recueil, le traitement et l'analyse de données afin de répondre à des besoins métier spécifiques
Compétences dans le développement et le déploiement de modèles d'apprentissage automatique dans un contexte industriel
Connaissance de Python et, idéalement, de PySpark, SQL et Git
Vous vous reconnaissez ? N'hésitez pas à postuler directement en ligne !
Tous nos métiers sont ouverts aux personnes en situation de handicap.
Informations complémentaires
Type de contrat : CDI
Localisation : Maison de le RATP - Paris 12ème
Télétravail : Oui
Principaux avantages de l'entreprise
Évolution de carrière vers d'autres métiers y compris en filiales internationales
9 semaines de congés, soit 206 jours travaillés par an",,,,,,,,,
Alternance - Data Scientist H/F,63607727.0,Alternance,🏡 Télétravail partiel,"486,49 - 1 801,80 € / mois",Crédit Agricole Assurances,Paris 15e - 75,il y a 13 jours,https://www.hellowork.com/fr-fr/emplois/63607727.html,Résumé de l'offre,"['486,49 - 1\u202f801,80 € / mois', '', 'Télétravail partiel', 'Bac +5', 'Banque • Assurance • Finance', 'Paris 15e - 75', 'Alternance']","Leader de l'assurance vie en France, nous travaillons au service de nos clients et de la société.
Vous rejoindrez plus précisément la Business Unit Epargne et Retraite Individuelle (ERI) dont la mission est de concevoir, fabriquer
et gérer des produits d'assurances qui répondent aux besoins de nos clients en Epargne, Retraite, Protection et Transmission.
En tant que Data Scientist en alternance, tu travailleras sur des projets d'amélioration continue et d'optimisation de la Filière Assistance Clients qui assiste le réseau bancaire dans ses relations avec leurs clients et leurs assurés.
En collaboration avec ton tuteur et sous la supervision de Data Scientists expérimentés, tu seras impliqué(e) dans des projets concrets et variés de cas d'usage DATA. Tes principales missions seront :
- Préparer les données : structuration pour des analyses pertinentes
- Collaborer avec les data scientists et chefs de projet pour comprendre les besoins et proposer des solutions technologiques adaptées
- Développer et adapter des outils de Data science en lien avec les besoins métiers
- Intégrer les solutions IA dans les parcours permettant l'amélioration continue et la performance opérationnelle
- Interagir avec différentes équipes pour intégrer des solutions IA dans leur quotidien
Concrètement, de quoi s'agit-il sur le terrain ?
Les cas d'usage pressentis :
- Reprise d'un outil de Process Mining et l'adapter au besoin métier,
- Traitement de bases documentaires à partir d'IA Générative à challenger avec des outils de Deep Learning
D'autres missions seront confiées telles que l'acculturation ou des travaux d'analyse des processus Métier dans une logique d'innovation.
Votre tuteur accompagnera votre intégration et votre montée en compétences.
Vos avantages
Des opportunités professionnelles au sein de nos entités Assurances et du groupe Crédit Agricole, une rémunération attractive, un accord de télétravail, une complémentaire santé de qualité, un forfait mobilité durable de 600 à 700 Euros, un accompagnement RH, et plus encore à découvrir !
Les principes de protection de l'environnement et de responsabilité sociétale sont intégrés au coeur de nos activités.
Le process de recrutement
1. Un entretien avec le manager ou le tuteur.
2. Un entretien en visio avec un interlocuteur RH.","Critères de candidature
:
Cadre / Non Cadre : Non cadre
Niveau d'étude minimum : Bac +5 / M2 et plus
Formation / Spécialisation :
Vous êtes en formation en Data Science et Data Engineer.
Niveau d'expérience minimum : 0 - 2 ans
Soft skills :
Compétences techniques et métier recherchées :
- Maîtrise de Python
- La connaissance de R serait un plus
- Appétence à monter en compétence sur les langages
- Motivation à relever des défis et à participer à des projets innovants en IA au service des métiers
Compétences comportementales recherchées :
- Avoir le sens du résultat
- Avoir le sens du service client
- Coopérer et fonctionner en transversal
- Interagir facilement avec les autres
- Proposer des initiatives ou des solutions
Outils informatiques :
Python",,,,,,,,,
Data Scientist Marketing H/F,64689327.0,CDI,🏡 Télétravail partiel,,BPCE SA,Paris - 75,il y a 17 jours,https://www.hellowork.com/fr-fr/emplois/64689327.html,Résumé de l'offre,"['', 'Télétravail partiel', 'Bac +5', 'Banque • Assurance • Finance', 'Paris - 75', 'CDI']","En intégrant BPCE SA vous intégrez une entreprise de 3400 collaborateurs engagés au service du développement et de la coordination de toutes les enseignes du Groupe BPCE (Banque Populaire, Caisse d'Epargne, Crédit Coopératif, Casden, Natixis, Oney, Banque Palatine) afin de porter les ambitions du projet stratégique « Vision 2030 ».
Vos missions au sein de l'équipe
Le data scientist aura pour mission d'enrichir la connaissance clients grâce à l'exploitation de la data, à travers la réalisation d'études Ad Hoc, de segmentations et de modélisations sur tous les marchés de clientèle, sur les 2 marques BP et CE.
Les livrables contribueront à l'élaboration des stratégies client des 2 marques, à l'amélioration de l'efficacité des opérations du plan d'actions commerciales et à l'amélioration de la satisfaction clients sur tous les marchés.
- Identifier les besoins des directions de marchés en matière d'analyse marketing du fonds de commerce des BP et des CE
- Réaliser des études marketing ciblées (études stratégiques, comportementales...) en lien avec les priorités du plan de développement et des ambitions Vision 2030 : évolution du fonds de commerce, collecte, crédits, assurances, bancarisation, interactions 100% digitales à 100% physiques avec la banque... Analyser les données internes et externes et restituer les résultats pour contribuer à la prise de décision des dirigeants.
- Construire des indicateurs et des segmentations permettant de réussir nos ambitions à 2030 (Améliorer l'efficacité et l'utilisation des actions CRM dans les établissements, simplifier le travail des conseillers, fournir des outils d'aide à la proposition commerciale personnalisée...)
- Coordonner les différents acteurs internes et externes afin de réussir le déploiement des scores, segmentations... (filiales, Etablissements, Direction juridique, IT, prestataires...)
- Apporter son expertise métier aux experts des Caisses d'Epargne/Banques Populaires (préconisations opérationnelles...)
- Contribuer à la veille concurrentielle marketing et technique (nouveaux langages, nouvelles méthodes de modélisation, nouveaux outils, intégration de l'IA...)
- Participer à la vie de l'équipe (alimentation du SharePoint, de la Newsletter, réalisation de présentations, acculturation...)
Vos atouts pour réussir
Idéalement, entre 1 et 5 ans d'expérience dans des postes similaires
- Maîtrise des Bases de données complexes
- Maîtrise des méthodes (Machine learning) et outils statistiques (DATAIKU) et de Business Intelligence (Alteryx, Power BI)
- Une bonne compréhension des principes de l'architecture distribuée (cloud)
- Une connaissance approfondie en programmation notamment orientée objet
(Python)
- Connaissance banque- assurance (acteurs, produits...)
- Maîtrise des techniques de gestion de projet
- Animation de réunions et de groupes de travail
- Une sensibilité métier
- Pédagogie avec une grande capacité à vulgariser et adapter son discours en fonction du public
- Capacités de communication et de présentation pour partager les analyses de manière claire et persuasive
- Une curiosité affirmée aux nouvelles technologies et au digital
- Une autonomie et une capacité d'adaptabilité dans son travail
- Le goût du travail en équipe
Pourquoi nous rejoindre ?
Un Groupe engagé dans le développement de ses collaborateurs
- Des opportunités professionnelles au sein de l'ensemble du groupe BPCE, avec la possibilité de bénéficier d'accompagnements sur-mesure (parcours d'upskilling / reskilling, LinkedIn Learning...)
- Un modèle managérial favorisant la mise en responsabilité et la prise d'initiatives
Un Groupe engagé dans les enjeux sociétaux et environnementaux
- Le Groupe BPCE place le climat comme priorité d'action de tous ses métiers et de toutes ses entreprises. Trois objectifs sont fixés : aligner tous ses portefeuilles sur une trajectoire ""net zéro"", accompagner ses clients dans leur transition environnementale, et réduire sa propre empreinte.
- En quelques chiffres la RSE dans le Groupe :
- 1erfinanceur de l'économie sociale et solidaire avec 15.9 Md€ d'encours
- 35 Md€ d'encours de financement de la transition énergétique
- 6 millions d'emplois soutenus grâce à l'activité des réseaux BP et CE
Être un employeur inclusif à travers des politiques fortes en termes de mixité, d'équilibre des temps de vie, de santé au travail...
Mais aussi...
- 10 jours de télétravail par mois
- Une carte ticket-restaurant de 11€ Euros par jour de télétravail
- 29 jours de congés payés et entre 16 et 19 jours de RTT (en fonction du calendrier des jours fériés)
- 64,2% de prise en charge des frais de transport
- Un dispositif d'épargne salarial attractif avec système d'abondement de 2500 Euros annuel
- Une mutuelle avantageuse avec la prise en charge de la cotisation à hauteur de 56,3 %
- Vous aurez accès à toutes les prestations de notre CSE : enveloppe loisirs, tarifs préférentiels sur la billetterie, voyages organisés, etc. pour profiter de moments de pause entre amis ou en famille !
NOTRE PROCESS DE RECRUTEMENT
Notre annonce vous parle et vous donne envie ? Candidatez, et si votre profil matche notre équipe de recruteurs vous contactera :
- 1 entretien pour comprendre votre parcours et vos motivations
- 1 à 2 entretiens métiers
A minima un des entretiens aura lieu au sein de nos locaux, pour que vous puissiez découvrir votre futur environnement de travail.
En tant qu'employeur responsable et engagé à construire un environnement de travail inclusif, nous offrons les mêmes opportunités aux talents de tous horizons, indépendamment de votre âge, origine, orientation sexuelle, handicap...",,,,,,,,,,
